HOLD_PIL_TOG,16:51,18:38,AB,AR,3,3,MF,164,0,115
HOLD_PIL_TOG,18:38,19:45,AR,FA,3,3,MF,164,0,116
HOLD_PIL_TOG,21:06,22:12,FA,AR,3,3,MF,173,0,117
HOLD_PIL_TOG,22:12,23:51,AR,AB,3,3,MF,173,0,118
RNG_F_IRG_TAF,23:51,00:51,AB,ABp,3,4,MF,173,1,119
PIL_TOG_HOLD_PIL_TOG,22:51,00:01,AB,AB,3,4,MF,171_192,0,120
PIL_TOG,00:01,01:38,AB,AR,4,4,MF,192,0,121
RNG_VENT_F_IRG_TAF,01:38,02:39,AR,ARp,4,4,MF,192,2,122
KLG,03:45,04:00,ARp,ARp,4,4,MF,101,2,123
RNG,04:00,04:15,ARp,AR,4,4,MF,101,2,124
PIL_TOG,04:15,05:51,AR,AB,4,4,MF,101,0,125
PIL_TOG,04:10,05:17,AR,FA,3,3,MF,6,0,126
HOLD_PIL,05:17,05:23,FA,FA,3,3,MF,6,0,127
HOLD_PIL_TOG,06:06,07:12,FA,AR,3,3,MF,113,0,128
HOLD_PIL_TOG,07:12,08:51,AR,AB,3,3,MF,113,0,129
HOLD_PIL_TOG,09:37,11:08,AB,AR,3,3,MF,34,0,130
KLG,05:08,05:38,ARp,ARp,3,3,MG,3314,2,131
RNG,05:38,05:53,ARp,AR,3,3,MG,3314,2,132
PIL_TOG,05:53,07:08,AR,FA,3,3,MG,3314,0,133
PIL_TOG,07:08,08:18,FA,ES,3,3,MG,3314,0,134
HOLD_PIL_TOG,09:18,10:46,ES,FA,3,3,MG,3331,0,135
PIL_TOG,10:46,12:02,FA,AR,3,3,MG,3331,0,136
KLG,05:14,05:29,ARp,ARp,3,3,MF,7,2,137
RNG,05:29,05:44,ARp,AR,3,3,MF,7,2,138
PIL_TOG,05:44,07:06,AR,AB,3,3,MF,7,0,139
PIL_TOG_HOLD_PIL_TOG,07:06,07:37,AB,AB,3,3,MF,7_26,0,140
RNG,08:51,09:11,AB,ABp,3,3,MF,113,1,141
F,09:11,09:31,ABp,ABp,3,3,MF,113,1,142
HOLD,09:31,09:45,ABp,ABp,3,3,MF,134,1,143
RNG,09:45,10:00,ABp,AB,3,3,MF,134,1,144
PIL_TOG,10:00,11:38,AB,AR,3,3,MF,134,0,145
KLG,05:33,05:53,ARp,ARp,3,3,MF,14,2,146
RNG,05:53,06:08,ARp,AR,3,3,MF,14,2,147
PERN_TOG,06:08,07:00,AR,VJ,3,3,MF,14,0,148
PIL_TOG,07:00,07:17,VJ,FA,3,3,MF,14,0,149
