Start time,End time,Start station,End station,Day,Endday,Train number
893,995,OD,CPHkak,3,3,42
972,995,KH,CPHkak,3,3,42
677,701,CPHkak,KH,3,3,43
677,787,CPHkak,OD,3,3,43
677,818,CPHkak,FA,3,3,43
677,882,CPHkak,AR,3,3,43
677,966,CPHkak,AB,3,3,43
677,887,CPHkak,TE,3,3,43
677,922,CPHkak,SDB,3,3,43
716,787,KH,OD,3,3,43
716,818,KH,FA,3,3,43
716,882,KH,AR,3,3,43
716,966,KH,AB,3,3,43
716,887,KH,TE,3,3,43
716,922,KH,SDB,3,3,43
790,818,OD,FA,3,3,43
790,882,OD,AR,3,3,43
790,966,OD,AB,3,3,43
790,887,OD,TE,3,3,43
790,922,OD,SDB,3,3,43
823,882,FA,AR,3,3,43
823,966,FA,AB,3,3,43
890,966,AR,AB,3,3,43
830,887,FA,TE,3,3,43
830,922,FA,SDB,3,3,43
889,922,TE,SDB,3,3,43
770,848,AB,AR,3,3,46
770,917,AB,FA,3,3,46
770,950,AB,OD,3,3,46
770,1023,AB,KH,3,3,46
770,1055,AB,CPHkak,3,3,46
855,917,AR,FA,3,3,46
855,950,AR,OD,3,3,46
855,1023,AR,KH,3,3,46
855,1055,AR,CPHkak,3,3,46
923,950,FA,OD,3,3,46
923,1023,FA,KH,3,3,46
923,1055,FA,CPHkak,3,3,46
953,1023,OD,KH,3,3,46
953,1055,OD,CPHkak,3,3,46
1032,1055,KH,CPHkak,3,3,46
815,950,SDB,OD,3,3,46
815,1023,SDB,KH,3,3,46
815,1055,SDB,CPHkak,3,3,46
815,848,SDB,TE,3,3,46
815,907,SDB,FA,3,3,46
850,950,TE,OD,3,3,46
850,1023,TE,KH,3,3,46
850,1055,TE,CPHkak,3,3,46
850,907,TE,FA,3,3,46
737,761,CPHkak,KH,3,3,47
737,847,CPHkak,OD,3,3,47
737,878,CPHkak,FA,3,3,47
737,942,CPHkak,AR,3,3,47
737,901,CPHkak,VJ,3,3,47
737,1007,CPHkak,STR,3,3,47
737,1026,CPHkak,AB,3,3,47
776,847,KH,OD,3,3,47
776,878,KH,FA,3,3,47
776,942,KH,AR,3,3,47
776,901,KH,VJ,3,3,47
776,1007,KH,STR,3,3,47
776,1026,KH,AB,3,3,47
850,878,OD,FA,3,3,47
850,942,OD,AR,3,3,47
