Column1,Column2,Start station,End station,Day,DayEND,Train number
653,683,FA,OD,3,3,128
713,743,FA,OD,3,3,132
773,803,FA,OD,3,3,136
833,863,FA,OD,3,3,140
893,923,FA,OD,3,3,144
953,983,FA,OD,3,3,148
1013,1043,FA,OD,3,3,152
1073,1103,FA,OD,3,3,156
1133,1163,FA,OD,3,3,160
1193,1223,FA,OD,3,3,164
1253,1283,FA,OD,3,3,168
1433,23,FA,OD,3,4,180
410,439,FA,OD,3,3,312
470,499,FA,OD,3,3,316
890,919,FA,OD,3,3,344
1010,1039,FA,OD,3,3,352
1313,1343,FA,OD,3,3,472
1373,1403,FA,OD,3,3,476
113,143,FA,OD,4,4,488
1394,1428,FA,OD,3,3,978
368,426,FA,OD,3,3,2710
510,560,FA,OD,3,3,2720
630,680,FA,OD,3,3,2728
750,800,FA,OD,3,3,2736
870,929,FA,OD,3,3,2744
987,1049,FA,OD,3,3,2752
1110,1160,FA,OD,3,3,2760
1226,1280,FA,OD,3,3,2768
1346,1400,FA,OD,3,3,2776
330,376,FA,OD,3,3,4708
417,463,FA,OD,3,3,4714
447,493,FA,OD,3,3,4716
570,613,FA,OD,3,3,4724
690,733,FA,OD,3,3,4732
810,856,FA,OD,3,3,4740
927,973,FA,OD,3,3,4748
1050,1093,FA,OD,3,3,4756
1170,1213,FA,OD,3,3,4764
1290,1333,FA,OD,3,3,4772
645,702,FA,TE,3,3,383
885,942,FA,TE,3,3,385
350,407,FA,TE,3,3,911
470,527,FA,TE,3,3,919
590,647,FA,TE,3,3,927
710,767,FA,TE,3,3,935
830,887,FA,TE,3,3,943
950,1007,FA,TE,3,3,951
1070,1127,FA,TE,3,3,959
1190,1247,FA,TE,3,3,967
1310,1367,FA,TE,3,3,975
1438,55,FA,TE,3,4,983
285,342,FA,TE,3,3,5751
405,462,FA,TE,3,3,5753
525,582,FA,TE,3,3,5755
765,822,FA,TE,3,3,5759
1005,1062,FA,TE,3,3,5763
1125,1182,FA,TE,3,3,5765
1245,1302,FA,TE,3,3,5767
1303,1316,FA,VJ,3,3,75
793,806,FA,VJ,3,3,141
526,541,FA,VJ,3,3,723
646,661,FA,VJ,3,3,731
886,901,FA,VJ,3,3,747
1126,1141,FA,VJ,3,3,763
344,358,HGL,KH,3,3,121
584,598,HGL,KH,3,3,137
704,718,HGL,KH,3,3,145
824,838,HGL,KH,3,3,153
944,958,HGL,KH,3,3,161
1061,1078,HGL,KH,3,3,169
311,325,HGL,KH,3,3,819
371,385,HGL,KH,3,3,823
551,565,HGL,KH,3,3,835
611,625,HGL,KH,3,3,839
731,745,HGL,KH,3,3,847
791,805,HGL,KH,3,3,851
851,865,HGL,KH,3,3,855
911,925,HGL,KH,3,3,859
971,985,HGL,KH,3,3,863
1151,1165,HGL,KH,3,3,875
1211,1225,HGL,KH,3,3,879
1271,1285,HGL,KH,3,3,883
1313,1324,HGL,KH,3,3,2285
1325,1336,HGL,KH,3,3,2487
1376,1387,HGL,KH,3,3,2491
1436,7,HGL,KH,3,4,2495
869,880,HGL,KH,3,3,2555
1109,1120,HGL,KH,3,3,2571
1169,1180,HGL,KH,3,3,2575
278,289,HGL,KH,3,3,4317
338,349,HGL,KH,3,3,4321
478,490,HGL,KH,3,3,4529
539,550,HGL,KH,3,3,4533
599,610,HGL,KH,3,3,4537
719,730,HGL,KH,3,3,4545
839,850,HGL,KH,3,3,4553
899,910,HGL,KH,3,3,4557
1079,1090,HGL,KH,3,3,4569
1139,1150,HGL,KH,3,3,4573
270,280,HGL,KH,4,4,9317
1281,1291,HGL,KH,3,3,9383
309,348,KD,OD,3,3,806
432,455,KH,CPHkak,3,3,6
492,515,KH,CPHkak,3,3,10
552,575,KH,CPHkak,3,3,14
612,635,KH,CPHkak,3,3,18
672,695,KH,CPHkak,3,3,22
732,755,KH,CPHkak,3,3,26
792,815,KH,CPHkak,3,3,30
852,875,KH,CPHkak,3,3,34
912,935,KH,CPHkak,3,3,38
972,995,KH,CPHkak,3,3,42
1032,1055,KH,CPHkak,3,3,46
1092,1115,KH,CPHkak,3,3,50
1152,1175,KH,CPHkak,3,3,54
1212,1235,KH,CPHkak,3,3,58
1272,1295,KH,CPHkak,3,3,62
1332,1355,KH,CPHkak,3,3,66
1392,1415,KH,CPHkak,3,3,70
463,486,KH,CPHkak,3,3,308
523,546,KH,CPHkak,3,3,312
583,606,KH,CPHkak,3,3,316
1003,1026,KH,CPHkak,3,3,344
1123,1146,KH,CPHkak,3,3,352
11,34,KH,CPHkak,4,4,474
71,94,KH,CPHkak,4,4,476
251,274,KH,CPHkak,4,4,488
75,98,KH,CPHkak,4,4,9301
291,312,KH,CPHkak,3,3,9317
1043,1066,KH,CPHkak,3,3,9367
1062,1085,KH,CPHkak,3,3,9369
1096,1119,KH,CPHkak,3,3,9371
1295,1318,KH,CPHkak,3,3,9383
479,492,KH,HGL,3,3,108
659,672,KH,HGL,3,3,120
719,732,KH,HGL,3,3,124
779,792,KH,HGL,3,3,128
899,912,KH,HGL,3,3,136
1019,1032,KH,HGL,3,3,144
1139,1152,KH,HGL,3,3,152
455,468,KH,HGL,3,3,806
515,528,KH,HGL,3,3,810
575,588,KH,HGL,3,3,814
635,648,KH,HGL,3,3,818
695,708,KH,HGL,3,3,822
755,768,KH,HGL,3,3,826
815,828,KH,HGL,3,3,830
875,888,KH,HGL,3,3,834
1115,1128,KH,HGL,3,3,850
1175,1188,KH,HGL,3,3,854
1235,1248,KH,HGL,3,3,858
1295,1308,KH,HGL,3,3,862
1355,1368,KH,HGL,3,3,866
1184,1197,KH,HGL,3,3,2456
1304,1317,KH,HGL,3,3,2464
1364,1377,KH,HGL,3,3,2468
38,54,KH,HGL,4,4,2476
410,423,KH,HGL,3,3,2502
500,513,KH,HGL,3,3,4508
560,573,KH,HGL,3,3,4512
680,693,KH,HGL,3,3,4520
740,753,KH,HGL,3,3,4524
800,813,KH,HGL,3,3,4528
860,873,KH,HGL,3,3,4532
1040,1053,KH,HGL,3,3,4544
1100,1113,KH,HGL,3,3,4548
605,615,KH,HGL,3,3,9316
1262,1272,KH,HGL,3,3,9362
224,234,KH,HGL,3,3,9386
419,425,KH,KK,3,3,104
839,845,KH,KK,3,3,132
1259,1265,KH,KK,3,3,160
485,491,KH,KK,3,3,208
545,551,KH,KK,3,3,212
443,449,KH,KK,3,3,1206
503,509,KH,KK,3,3,1210
563,569,KH,KK,3,3,1214
623,629,KH,KK,3,3,1218
683,689,KH,KK,3,3,1222
743,749,KH,KK,3,3,1226
803,809,KH,KK,3,3,1230
863,869,KH,KK,3,3,1234
923,929,KH,KK,3,3,1238
983,989,KH,KK,3,3,1242
1043,1049,KH,KK,3,3,1246
1103,1109,KH,KK,3,3,1250
1163,1169,KH,KK,3,3,1254
1223,1229,KH,KK,3,3,1258
1283,1289,KH,KK,3,3,1262
1340,1346,KH,KK,3,3,1266
101,107,KH,KK,4,4,2378
1244,1250,KH,KK,3,3,2460
470,476,KH,KK,3,3,2506
530,536,KH,KK,3,3,2510
590,596,KH,KK,3,3,2514
650,656,KH,KK,3,3,2518
710,716,KH,KK,3,3,2522
770,776,KH,KK,3,3,2526
830,836,KH,KK,3,3,2530
890,896,KH,KK,3,3,2534
950,956,KH,KK,3,3,2538
1010,1016,KH,KK,3,3,2542
1070,1076,KH,KK,3,3,2546
1130,1136,KH,KK,3,3,2550
1190,1196,KH,KK,3,3,2554
1250,1256,KH,KK,3,3,2558
1310,1316,KH,KK,3,3,2562
380,386,KH,KK,3,3,4500
440,446,KH,KK,3,3,4504
620,626,KH,KK,3,3,4516
920,926,KH,KK,3,3,4536
980,986,KH,KK,3,3,4540
1160,1166,KH,KK,3,3,4552
